class_pair,true_label,pred_label,count,true_total,confusion_rate,baseline_rate,delta_vs_baseline,mean_pred_confidence,score,status
label_Tbqq->label_H4q,label_Tbqq,label_H4q,26,1024,0.025390625,0.0,0.025390625,0.5498820130641644,0.33758960792589116,WATCH
label_Hgg->label_Zqq,label_Hgg,label_Zqq,25,1024,0.0244140625,0.0,0.0244140625,0.4937423050403595,0.3236839975102901,WATCH
label_Wqq->label_H4q,label_Wqq,label_H4q,21,1024,0.0205078125,0.0,0.0205078125,0.5134892265001932,0.26846864406301235,WATCH
label_Zqq->label_Tbqq,label_Zqq,label_Tbqq,20,1024,0.01953125,0.0,0.01953125,0.5898370772600174,0.2547758288617856,WATCH
label_Hbb->label_Tbqq,label_Hbb,label_Tbqq,19,1024,0.0185546875,0.0,0.0185546875,0.7147824654453679,0.2411317511694588,WATCH
label_H4q->label_QCD,label_H4q,label_QCD,19,1024,0.0185546875,0.0,0.0185546875,0.46626459611089605,0.2411317511694588,WATCH
label_Zqq->label_H4q,label_Zqq,label_H4q,19,1024,0.0185546875,0.0,0.0185546875,0.5156403027082744,0.2411317511694588,WATCH
label_Wqq->label_Tbqq,label_Wqq,label_Tbqq,19,1024,0.0185546875,0.0,0.0185546875,0.6705921590328217,0.2411317511694588,WATCH
label_Hcc->label_QCD,label_Hcc,label_QCD,17,1024,0.0166015625,0.0,0.0166015625,0.5014968637157889,0.21400031238694806,WATCH
label_Hgg->label_Tbqq,label_Hgg,label_Tbqq,17,1024,0.0166015625,0.0,0.0166015625,0.5408144084846273,0.21400031238694806,WATCH
label_Tbqq->label_Hbb,label_Tbqq,label_Hbb,17,1024,0.0166015625,0.0,0.0166015625,0.5452758862691767,0.21400031238694806,WATCH
label_QCD->label_Hbb,label_QCD,label_Hbb,16,1024,0.015625,0.0,0.015625,0.49549098778516054,0.20051895850087836,WATCH
label_Hbb->label_QCD,label_Hbb,label_QCD,15,1024,0.0146484375,0.0,0.0146484375,0.5646433095137279,0.1870984676109343,WATCH
label_H4q->label_Zqq,label_H4q,label_Zqq,15,1024,0.0146484375,0.0,0.0146484375,0.48891016443570456,0.1870984676109343,WATCH
label_H4q->label_Wqq,label_H4q,label_Wqq,14,1024,0.013671875,0.0,0.013671875,0.5094753418649945,0.17374287384319428,WATCH
label_Tbqq->label_QCD,label_Tbqq,label_QCD,13,1024,0.0126953125,0.0,0.0126953125,0.5213550077034876,0.1604567825048812,WATCH
label_Hcc->label_Wqq,label_Hcc,label_Wqq,12,1024,0.01171875,0.0,0.01171875,0.5374168132742246,0.14724550028275238,WATCH
label_H4q->label_Hbb,label_H4q,label_Hbb,11,1024,0.0107421875,0.0,0.0107421875,0.46255423535000195,0.13411520815201955,WATCH
label_Tbqq->label_Hcc,label_Tbqq,label_Hcc,11,1024,0.0107421875,0.0,0.0107421875,0.5066188167441975,0.13411520815201955,WATCH
label_Hgg->label_Wqq,label_Hgg,label_Wqq,10,1024,0.009765625,0.0,0.009765625,0.5416668981313706,0.12107319602342159,OK
label_Zqq->label_Hgg,label_Zqq,label_Hgg,10,1024,0.009765625,0.0,0.009765625,0.3988926768302917,0.12107319602342159,OK
label_Wqq->label_Hcc,label_Wqq,label_Hcc,8,1024,0.0078125,0.0,0.0078125,0.5284503549337387,0.09529081701043922,OK
label_Hqql->label_Hbb,label_Hqql,label_Hbb,7,1024,0.0068359375,0.0,0.0068359375,0.5669197695595878,0.082574307413827,OK
label_Hqql->label_Wqq,label_Hqql,label_Wqq,6,1024,0.005859375,0.0,0.005859375,0.6132033268610636,0.06999556727962097,OK
label_QCD->label_Hqql,label_QCD,label_Hqql,5,1024,0.0048828125,0.0,0.0048828125,0.642640233039856,0.05757695053334011,OK
label_Tbqq->label_Hgg,label_Tbqq,label_Hgg,5,1024,0.0048828125,0.0,0.0048828125,0.48307777047157285,0.05757695053334011,OK
label_Hqql->label_Zqq,label_Hqql,label_Zqq,4,1024,0.00390625,0.0,0.00390625,0.6376115530729294,0.0453493668454457,OK
label_Wqq->label_Hgg,label_Wqq,label_Hgg,4,1024,0.00390625,0.0,0.00390625,0.44231172278523445,0.0453493668454457,OK
label_Hbb->label_Hqql,label_Hbb,label_Hqql,3,1024,0.0029296875,0.0,0.0029296875,0.5762184162934622,0.03335828426109343,OK
label_Hbb->label_Wqq,label_Hbb,label_Wqq,3,1024,0.0029296875,0.0,0.0029296875,0.6454098920027415,0.03335828426109343,OK
label_Wqq->label_Hbb,label_Wqq,label_Hbb,3,1024,0.0029296875,0.0,0.0029296875,0.46100449562072754,0.03335828426109343,OK
label_Hbb->label_Tbl,label_Hbb,label_Tbl,2,1024,0.001953125,0.0,0.001953125,0.6831384003162384,0.0216769771263049,OK
label_H4q->label_Hqql,label_H4q,label_Hqql,2,1024,0.001953125,0.0,0.001953125,0.7299858331680298,0.0216769771263049,OK
label_Hqql->label_H4q,label_Hqql,label_H4q,2,1024,0.001953125,0.0,0.001953125,0.6758864521980286,0.0216769771263049,OK
label_Wqq->label_Hqql,label_Wqq,label_Hqql,2,1024,0.001953125,0.0,0.001953125,0.458157554268837,0.0216769771263049,OK
label_Tbl->label_Hbb,label_Tbl,label_Hbb,2,1024,0.001953125,0.0,0.001953125,0.5677249580621719,0.0216769771263049,OK
label_QCD->label_Tbl,label_QCD,label_Tbl,1,1024,0.0009765625,0.0,0.0009765625,0.5926714539527893,0.010442526543515572,OK
label_Hcc->label_Hqql,label_Hcc,label_Hqql,1,1024,0.0009765625,0.0,0.0009765625,0.8239561915397644,0.010442526543515572,OK
label_Hcc->label_Tbl,label_Hcc,label_Tbl,1,1024,0.0009765625,0.0,0.0009765625,0.4251989424228668,0.010442526543515572,OK
label_Hgg->label_Hqql,label_Hgg,label_Hqql,1,1024,0.0009765625,0.0,0.0009765625,0.8720865845680237,0.010442526543515572,OK
label_Hqql->label_Hcc,label_Hqql,label_Hcc,1,1024,0.0009765625,0.0,0.0009765625,0.3886387050151825,0.010442526543515572,OK
label_Hqql->label_Tbqq,label_Hqql,label_Tbqq,1,1024,0.0009765625,0.0,0.0009765625,0.8677937984466553,0.010442526543515572,OK
label_Tbqq->label_Zqq,label_Tbqq,label_Zqq,1,1024,0.0009765625,0.0,0.0009765625,0.3542931079864502,0.010442526543515572,OK
label_Tbqq->label_Wqq,label_Tbqq,label_Wqq,1,1024,0.0009765625,0.0,0.0009765625,0.6373409032821655,0.010442526543515572,OK
label_Tbqq->label_Tbl,label_Tbqq,label_Tbl,1,1024,0.0009765625,0.0,0.0009765625,0.5088880062103271,0.010442526543515572,OK
label_Tbl->label_Hcc,label_Tbl,label_Hcc,1,1024,0.0009765625,0.0,0.0009765625,0.4757099151611328,0.010442526543515572,OK
label_Hgg->label_Tbl,label_Hgg,label_Tbl,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_H4q->label_Tbl,label_H4q,label_Tbl,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Hqql->label_QCD,label_Hqql,label_QCD,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Hqql->label_Hgg,label_Hqql,label_Hgg,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Zqq->label_Hqql,label_Zqq,label_Hqql,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Zqq->label_Tbl,label_Zqq,label_Tbl,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Wqq->label_Tbl,label_Wqq,label_Tbl,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbqq->label_Hqql,label_Tbqq,label_Hqql,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_QCD,label_Tbl,label_QCD,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_Hgg,label_Tbl,label_Hgg,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_H4q,label_Tbl,label_H4q,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_Zqq,label_Tbl,label_Zqq,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_Wqq,label_Tbl,label_Wqq,0,1024,0.0,0.0,0.0,0.0,0.0,OK
label_Tbl->label_Tbqq,label_Tbl,label_Tbqq,0,1024,0.0,0.0,0.0,0.0,0.0,OK
