test,event,donor,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3A_control_qcd_hadron,3658,8911,8,label_Tbl,label_QCD,0,1,-0.43085432052612305,muon,charged_hadron
3A_real_hqql_hadron,3666,3810,8,label_Tbl,label_Hqql,1,1,1.5249994993209839,electron,electron
3A_control_qcd_hadron,3666,8852,8,label_Tbl,label_Hqql,1,1,1.282009780406952,electron,neutral_hadron
3A_real_hqql_hadron,3698,3205,8,label_Tbl,label_Hqql,1,1,3.0352895259857178,photon,photon
3A_control_qcd_hadron,3698,8543,8,label_Tbl,label_Hqql,1,1,3.59359610080719,photon,charged_hadron
3A_real_hqql_hadron,3701,3152,8,label_Tbl,label_Tbl,0,0,0.27065038681030273,electron,muon
3A_control_qcd_hadron,3701,8948,8,label_Tbl,label_Hqql,1,1,4.06572699546814,electron,charged_hadron
3A_real_hqql_hadron,3721,3391,8,label_Tbl,label_Hqql,1,1,1.841687560081482,electron,charged_hadron
3A_control_qcd_hadron,3721,8737,8,label_Tbl,label_Hqql,1,1,5.474449276924133,electron,photon
3A_real_hqql_hadron,3730,3204,8,label_Tbl,label_Hqql,1,1,3.3736172914505005,muon,charged_hadron
3A_control_qcd_hadron,3730,8727,8,label_Tbl,label_Hqql,1,1,2.7914867401123047,muon,photon
3A_real_hqql_hadron,3746,3505,8,label_Tbl,label_Hqql,1,1,3.9049317836761475,muon,electron
3A_control_qcd_hadron,3746,8423,8,label_Tbl,label_Hqql,1,1,5.4226953983306885,muon,charged_hadron
3A_real_hqql_hadron,3766,3819,8,label_Tbl,label_Hqql,1,1,2.699236273765564,electron,muon
3A_control_qcd_hadron,3766,8364,8,label_Tbl,label_Hqql,1,1,3.348769426345825,electron,photon
3A_real_hqql_hadron,3780,3965,8,label_Tbl,label_Hqql,1,1,3.857177972793579,muon,charged_hadron
3A_control_qcd_hadron,3780,9188,8,label_Tbl,label_Hqql,1,1,2.8881189823150635,muon,charged_hadron
3A_real_hqql_hadron,3829,3707,8,label_Tbl,label_Hqql,1,1,0.7671651840209961,electron,muon
3A_control_qcd_hadron,3829,8749,8,label_Tbl,label_Hqql,1,1,2.2967835664749146,electron,charged_hadron
3A_real_hqql_hadron,3849,3946,8,label_Tbl,label_Tbl,0,0,0.688704252243042,charged_hadron,charged_hadron
3A_control_qcd_hadron,3849,8575,8,label_Tbl,label_Hqql,1,1,2.2242331504821777,charged_hadron,charged_hadron
3A_real_hqql_hadron,3891,3727,8,label_Tbl,label_Tbl,0,0,-1.3078603744506836,photon,muon
3A_control_qcd_hadron,3891,8250,8,label_Tbl,label_Tbl,0,0,0.27836674451828003,photon,charged_hadron
3A_real_hqql_hadron,3892,3735,8,label_Tbl,label_Tbl,0,0,0.4922534227371216,electron,muon
3A_control_qcd_hadron,3892,9112,8,label_Tbl,label_Hqql,1,1,2.9168673753738403,electron,photon
3A_real_hqql_hadron,3896,3756,8,label_Tbl,label_Tbl,0,0,0.860234260559082,electron,charged_hadron
3A_control_qcd_hadron,3896,8959,8,label_Tbl,label_Tbl,0,0,3.5535503029823303,electron,charged_hadron
3A_real_hqql_hadron,3936,3556,8,label_Tbl,label_Hqql,1,1,2.357431173324585,electron,muon
3A_control_qcd_hadron,3936,8549,8,label_Tbl,label_Hqql,1,1,2.2270439863204956,electron,charged_hadron
3A_real_hqql_hadron,4020,3285,8,label_Tbl,label_Hqql,1,1,1.0510395765304565,muon,photon
3A_control_qcd_hadron,4020,8855,8,label_Tbl,label_Hqql,1,1,1.0968737602233887,muon,neutral_hadron
3A_real_hqql_hadron,4023,3669,8,label_Tbl,label_Hqql,1,1,0.14751315116882324,electron,charged_hadron
3A_control_qcd_hadron,4023,8218,8,label_Tbl,label_QCD,0,1,-0.31633663177490234,electron,charged_hadron
3A_real_hqql_hadron,4036,3320,8,label_Tbl,label_Tbl,0,0,0.7667675018310547,electron,electron
3A_control_qcd_hadron,4036,8244,8,label_Tbl,label_Tbl,0,0,0.37207794189453125,electron,charged_hadron
3A_real_hqql_hadron,4086,3499,8,label_Tbl,label_Hqql,1,1,2.895475745201111,electron,photon
3A_control_qcd_hadron,4086,8340,8,label_Tbl,label_Tbl,0,0,0.6382424831390381,electron,charged_hadron
